"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RGS19"	2.68175923159027e-38	-0.364191334790374	0.195	0.45	4.40425318604071e-34
"VIM"	3.27304169463321e-38	-0.331950299568144	0.733	0.928	5.37531637509612e-34
"FUS"	4.8218035183313e-38	-0.331054816533166	0.262	0.535	7.91884791815549e-34
"TSC22D3"	2.36104734371766e-37	-0.332356263937428	0.241	0.507	3.87754805258752e-33
"RPL18"	1.5724174850085e-36	-0.25747626756918	0.857	0.977	2.58238123562946e-32
"GNAS"	2.80131507068168e-36	-0.294936094151084	0.178	0.422	4.60059974058053e-32
"HLA-DPA1"	2.0576606597235e-35	-0.361312490864208	0.617	0.842	3.37929610146391e-31
"CD4"	3.25473961140287e-35	-0.325744387451397	0.144	0.363	5.34525886380693e-31
"LST1"	3.36298372603784e-35	-0.347553982591997	0.775	0.951	5.52302817327195e-31
"LILRA5"	3.84471237909087e-35	-0.371307868431409	0.152	0.374	6.31417114018094e-31
"ITGAX"	4.9806534401847e-35	-0.270411875870757	0.078	0.262	8.17972714481534e-31
"CYP27A1"	8.07210126314689e-35	-0.369395690589459	0.03	0.17	1.32568119044661e-30
"ARPC4"	1.58538758530215e-34	-0.302515109050157	0.338	0.62	2.60368203134171e-30
"CRIP1"	1.63523428741501e-34	-0.37233546570439	0.253	0.505	2.68554527022167e-30
"SLC25A6"	1.88941303216989e-34	-0.318954570455764	0.689	0.896	3.10298302273261e-30
"CD9"	2.10454154925524e-34	-0.401087691496153	0.015	0.134	3.45628858634188e-30
"CSF1R"	2.39890352839687e-34	-0.447135787755278	0.136	0.339	3.93971926468619e-30
"ALDH2"	3.23174552014776e-34	-0.360316630676589	0.124	0.326	5.30749566773867e-30
"TCIRG1"	5.37387196814586e-34	-0.283559923956859	0.156	0.382	8.82550993328594e-30
"CHCHD2"	7.11324484514288e-34	-0.304152225170611	0.497	0.792	1.16820820091781e-29
"FOSB"	1.3183953698399e-33	-0.374325353509501	0.175	0.398	2.16520071588806e-29
"RP11-796E2.4"	1.6846745766478e-33	-0.349978597858141	0.015	0.133	2.76674105722868e-29
"CNN2"	7.86000151608441e-33	-0.270809888234236	0.102	0.293	1.29084804898654e-28
"HIST1H2BG"	2.3414626777554e-32	-0.346537850796294	0.013	0.124	3.84538415567769e-28
"CD37"	5.27032724593867e-32	-0.297661723766008	0.492	0.783	8.65545843600508e-28
"HIST1H2BN"	5.30957340925187e-32	-0.281432508576428	0.006	0.106	8.71991241001434e-28
"EIF5"	6.32961563593946e-32	-0.267295299709756	0.189	0.421	1.03951277589034e-27
"IER5"	1.57118605851758e-31	-0.28585734868415	0.09	0.271	2.58035886390342e-27
"SLC25A5"	1.92969312048189e-31	-0.340692923521889	0.355	0.61	3.16913501176741e-27
"POLR1D"	2.03868990196233e-31	-0.329540350346185	0.176	0.395	3.34814042599273e-27
"RBM3"	2.48121792049088e-31	-0.260186915523067	0.353	0.619	4.07490419082217e-27
"UNC119"	2.72661998306067e-31	-0.280347334021038	0.087	0.263	4.47792799818055e-27
"GRB2"	3.36978536698229e-31	-0.277531843252946	0.273	0.534	5.53419850819501e-27
"GLTSCR2"	9.15711861179868e-31	-0.262671467520946	0.341	0.613	1.5038735896157e-26
"SQSTM1"	1.42148157214575e-30	-0.30736460854454	0.18	0.397	2.33449918593497e-26
"HIST2H2BE"	2.82479763479122e-30	-0.299287381557364	0.033	0.162	4.63916515561761e-26
"SLC38A2"	3.40853978688135e-30	-0.348077693849351	0.103	0.282	5.59784489199524e-26
"SIGLEC10"	3.54980742607414e-30	-0.364485841049408	0.056	0.202	5.82984873584156e-26
"SLC25A3"	3.61712630752277e-30	-0.310861931072985	0.292	0.544	5.94040653484464e-26
"RBM39"	3.66503085224258e-30	-0.277004871826045	0.304	0.569	6.01908016863799e-26
"SEPT9"	5.12574321436949e-30	-0.253052595235293	0.163	0.374	8.41800808095901e-26
"RPL22L1"	8.80656736783458e-30	-0.286817389206701	0.092	0.263	1.44630255881947e-25
"NCF2"	1.09434674503553e-29	-0.283017087105712	0.304	0.56	1.79724565937185e-25
"LILRB2"	1.17413179975444e-29	-0.36038451743149	0.21	0.431	1.92827665473672e-25
"HLA-DPB1"	1.23749135911007e-29	-0.312885830804843	0.683	0.882	2.03233205906647e-25
"ADM"	1.33606847685167e-29	-0.344502618993945	0.058	0.206	2.1942252595335e-25
"PPM1N"	1.46983310881469e-29	-0.352249190147145	0.024	0.14	2.41390691460636e-25
"POU2F2"	4.20858426674724e-29	-0.251331941973525	0.204	0.427	6.91175794127899e-25
"PHACTR1"	5.67554458808795e-29	-0.353195591069804	0.071	0.225	9.32094687701684e-25
"SEC11A"	5.70923824707477e-29	-0.316676288307297	0.305	0.558	9.37628197317089e-25
"RHOB"	1.09088883345544e-28	-0.25895692418906	0.235	0.469	1.79156673118388e-24
"MARCKSL1"	1.63737240435448e-28	-0.295889359939376	0.091	0.257	2.68905669967136e-24
"CD68"	1.8036074134412e-28	-0.32394107148903	0.447	0.698	2.96206445509449e-24
"LYST"	2.15299527104795e-28	-0.273526443594036	0.286	0.541	3.53586413364205e-24
"RETN"	2.17557848798267e-28	-0.43735698520189	0.069	0.218	3.57295255081393e-24
"AP2A1"	2.19072846253861e-28	-0.268714795834732	0.066	0.216	3.59783335402715e-24
"EIF3L"	2.55195101953364e-28	-0.287695605354474	0.279	0.515	4.19106915938009e-24
"TUBA1A"	2.69978364142961e-28	-0.351961865424343	0.265	0.494	4.43385467431984e-24
"PSMD5-AS1"	3.17440100069717e-28	-0.277147968678562	0.023	0.134	5.21331876344495e-24
"TNFRSF1B"	9.47512396116357e-28	-0.303067349845952	0.286	0.517	1.55609960814189e-23
"DBNL"	1.88542370500841e-27	-0.264698731437225	0.234	0.46	3.09643135073531e-23
"HIST1H1E"	2.04635618688505e-27	-0.304506918419784	0.062	0.204	3.36073076572131e-23
"HIST1H4E"	6.7212542009652e-27	-0.295200543172315	0.023	0.13	1.10383157742452e-22
"PGLS"	1.91738311433016e-26	-0.280446575439108	0.276	0.508	3.14891828866441e-22
"HCK"	2.08663564008495e-26	-0.312290362124944	0.284	0.506	3.42688171171151e-22
"CAPZB"	2.44351252693278e-26	-0.256606483501254	0.396	0.651	4.0129806229817e-22
"RSRP1"	2.78582912987391e-26	-0.27354031352777	0.172	0.367	4.57516717999192e-22
"ZFAND5"	3.37062101548876e-26	-0.250867931139233	0.26	0.489	5.5355708937372e-22
"RPL4"	6.28978533655103e-26	-0.260392893617978	0.63	0.846	1.03297144582178e-21
"HIST1H1C"	6.84314921477741e-26	-0.353754022536858	0.095	0.252	1.12385039554289e-21
"RAC2"	7.09225050692835e-26	-0.261633226253962	0.313	0.55	1.16476030075284e-21
"CFP"	7.2503680782066e-26	-0.276486442626355	0.422	0.682	1.19072794948387e-21
"EIF3H"	7.61565891392252e-26	-0.27139201142307	0.378	0.631	1.25071966343349e-21
"LRRC25"	1.24073914334314e-25	-0.285911068593232	0.239	0.454	2.03766589511244e-21
"ANP32B"	1.52030929136101e-25	-0.266743269534926	0.247	0.469	2.49680394920219e-21
"PEA15"	1.52357618390518e-25	-0.289976876563179	0.046	0.169	2.50216916682748e-21
"LIMD2"	1.71050218413162e-25	-0.252688006506945	0.503	0.756	2.80915773699937e-21
"MIS18BP1"	4.88179282954021e-25	-0.268067221308881	0.151	0.336	8.01736836395389e-21
"C6orf48"	6.86217000599408e-25	-0.275282844197771	0.188	0.384	1.12697418008441e-20
"COX7C"	2.10481207331018e-24	-0.255568211933829	0.659	0.897	3.45673286799731e-20
"MAF1"	8.7108297062805e-24	-0.254090257519333	0.103	0.257	1.43057956266245e-19
"GSTP1"	1.22818531408506e-23	-0.252929930624188	0.72	0.893	2.01704874132189e-19
"TMEM154"	1.6731722147025e-23	-0.280738969483376	0.083	0.225	2.74785072820592e-19
"OAZ2"	3.90706993642216e-23	-0.254459316309471	0.161	0.34	6.41658095658612e-19
"TUBA1B"	2.27160724479891e-22	-0.260096047285372	0.284	0.492	3.73066057813325e-18
