"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"ARHGDIB"	1.09750925497011e-175	-0.284687168418797	0.576	0.813	1.80243944943741e-171
"VAMP8"	1.1514499014268e-175	-0.322615727740022	0.232	0.426	1.89102617311324e-171
"PYCARD"	2.34955356034695e-175	-0.382813764731665	0.158	0.322	3.8586718121578e-171
"EVL"	1.17497151890674e-174	-0.310623998802298	0.268	0.468	1.92965572550053e-170
"PRR13"	1.17856955832737e-173	-0.341651606649726	0.391	0.6	1.93556478564104e-169
"BLOC1S1"	1.34273025677398e-173	-0.332386617062245	0.219	0.406	2.2051659006999e-169
"AIM2"	1.5894371402953e-172	-0.344744820574499	0.12	0.274	2.61033261550696e-168
"SH3BGRL3"	2.59733000764666e-172	-0.2941975262064	0.576	0.786	4.26559507155811e-168
"CFL1"	1.02492253266001e-170	-0.253890977700615	0.669	0.872	1.68323027538754e-166
"LILRA4"	1.42639346430626e-170	-0.393742049763239	0.046	0.157	2.34256598643017e-166
"RP11-796E2.4"	3.60676142558834e-170	-0.313418101755855	0.049	0.164	5.92338428924373e-166
"EDF1"	5.63693795499477e-170	-0.261706282297651	0.379	0.604	9.25754320348791e-166
"POMP"	1.07420303206328e-168	-0.314491271652863	0.153	0.318	1.76416363955752e-164
"SUB1"	1.80323033397459e-167	-0.31902173799216	0.21	0.391	2.96144517748647e-163
"CAPZB"	2.74664204025534e-167	-0.291540694440067	0.16	0.33	4.51081022271135e-163
"PTRHD1"	1.12832925238467e-164	-0.311265455038127	0.098	0.239	1.85305513119134e-160
"ATPIF1"	5.36690276082076e-164	-0.265322062390862	0.318	0.525	8.81406440409593e-160
"COPE"	9.44090424414082e-164	-0.294592477991917	0.268	0.466	1.55047970401525e-159
"PRDX2"	6.67206100621023e-163	-0.392667284058935	0.055	0.167	1.09575257904991e-158
"C12orf57"	3.52620872759345e-162	-0.287637277375953	0.204	0.385	5.79109259332672e-158
"ATP5G3"	3.54456484491808e-162	-0.308688636442068	0.211	0.391	5.82123884480896e-158
"PGLS"	5.25080541596293e-162	-0.322435269835874	0.133	0.287	8.62339773463592e-158
"ECH1"	2.64410438670649e-161	-0.300524570314063	0.192	0.368	4.34241263428807e-157
"BTK"	1.3538174322345e-160	-0.30217251617024	0.1	0.24	2.22337436895872e-156
"CIB1"	3.96515436312848e-160	-0.335190155206243	0.211	0.387	6.5119730105659e-156
"S100A6"	8.49343599855469e-159	-0.441545785197888	0.699	0.835	1.39487699404264e-154
"BLOC1S2"	1.29272303037533e-158	-0.325453991509366	0.116	0.261	2.1230390327854e-154
"HLA-DMA"	1.00860474325049e-157	-0.258636434366192	0.648	0.838	1.65643156984027e-153
"SYTL1"	4.80260846133921e-156	-0.317491026006243	0.059	0.173	7.88732387605738e-152
"H2AFY"	1.72136666675755e-155	-0.308414214083756	0.099	0.235	2.82700047681592e-151
"COX5A"	1.91936212968044e-155	-0.294676036858784	0.151	0.309	3.15216842557418e-151
"PSMA4"	4.23810576602882e-154	-0.309027067094061	0.198	0.371	6.96024109954913e-150
"ATP5F1"	4.72455829098656e-154	-0.291976880765982	0.162	0.325	7.75914208128723e-150
"ATP5EP2"	7.90067340930413e-154	-0.279647110614048	0.045	0.15	1.29752759401002e-149
"ADI1"	1.02068783028327e-151	-0.30647173063945	0.059	0.172	1.67627562367421e-147
