"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"IFIT3"	3.05175695356651e-05	0.31943614384346	0.146	0.1	0.501190044484228
"ATP5I"	3.46270155530567e-05	0.346909816734128	0.561	0.613	0.568679476427851
"SELL"	5.3558144825455e-05	0.333451828471682	0.401	0.373	0.879585412468448
"IFIT2"	6.32007780610705e-05	0.418476294612852	0.206	0.16	1
"TNFAIP3"	8.41324071399167e-05	0.499773648438319	0.168	0.126	1
"EIF1AX"	8.42729480614759e-05	0.320311713388168	0.181	0.135	1
"NFKBIZ"	9.04214082063617e-05	0.461950452744052	0.414	0.42	1
"COX6A1"	0.000144109853678801	0.307087507514104	0.504	0.541	1
"MAP3K7CL"	0.000157334035486861	0.266382516327303	0.103	0.065	1
"PSMA2"	0.000193470797274874	0.371846888409035	0.333	0.315	1
"ARPC5"	0.000209751124986092	0.262015633095275	0.577	0.633	1
"FCGR1B"	0.000224977457354116	0.254588971544809	0.144	0.102	1
"PARP14"	0.000257285210516167	0.394852576209695	0.302	0.273	1
"TRIM22"	0.000303564125036861	0.349977542888758	0.215	0.177	1
"RPL17"	0.000468688200804943	0.402659315258198	0.349	0.339	1
"SAMD9L"	0.000503892933492817	0.290275136179266	0.184	0.147	1
"LAP3"	0.000589927560009579	0.339228585741109	0.39	0.383	1
"BLOC1S1"	0.000804114551655696	0.273636285993739	0.551	0.611	1
"AP1S2"	0.000870104595280744	0.271550067741148	0.609	0.698	1
"LITAF"	0.00114455143348749	0.375357117068902	0.262	0.238	1
"DTX3L"	0.0012649830088563	0.272621787079495	0.103	0.072	1
"XRN1"	0.00147001686719487	0.274672974743297	0.134	0.1	1
"APOL6"	0.00187184844993007	0.368736585725755	0.182	0.149	1
"IRF7"	0.00251252179641728	0.380941031084576	0.253	0.231	1
"GLIPR2"	0.00292667641377675	0.375760254724635	0.416	0.436	1
"TMEM59"	0.00450948400831911	0.283404757688494	0.456	0.498	1
"HMGB1"	0.00455493570836419	0.267492445592379	0.533	0.598	1
"RBX1"	0.0053718833513335	0.271286631920709	0.501	0.547	1
"TNFSF13B"	0.00613663537665191	0.273626685903992	0.534	0.599	1
"MX2"	0.00785569934335919	0.261857648247402	0.172	0.145	1
"RHEB"	0.00881710261434243	0.276180960221769	0.158	0.132	1
"RP11-386I14.4"	0.00889993551199438	0.47569093646971	0.311	0.299	1
"G0S2"	0.010444386680978	0.372334408924389	0.102	0.078	1
"MOB1A"	0.0107973930606972	0.327132335310714	0.37	0.38	1
"BANF1"	0.0137215897171677	0.321099513027317	0.28	0.27	1
"GCA"	0.0162783224783558	0.32450305792918	0.355	0.366	1
"MIR4435-2HG"	0.0180288298240231	0.294526264782698	0.134	0.11	1
"PSMA3"	0.0393359135241691	0.255227123222298	0.231	0.217	1
"C1orf56"	0.039521928534542	0.314214595501809	0.115	0.095	1
"NAGK"	0.0474826349671409	0.317260428738661	0.362	0.385	1
"PSMB8"	0.0501101016709989	0.251156861864014	0.485	0.552	1
"IFITM1"	0.052657575796406	0.311032762932045	0.118	0.1	1
"TRMT112"	0.0539071327853129	0.261973739016519	0.359	0.378	1
"STAT2"	0.0565260324956146	0.317673648532425	0.197	0.183	1
"NDUFA3"	0.069734642546606	0.263322512699886	0.44	0.488	1
"YWHAQ"	0.0700758707763845	0.270686760858244	0.19	0.178	1
"SRSF9"	0.0911042883268238	0.274022941419628	0.3	0.312	1
"HNRNPA3"	0.0984931123077408	0.288537316112171	0.32	0.332	1
"FOSL2"	0.107969030682238	0.282048396264668	0.125	0.113	1
"HMGB2"	0.119146612152427	0.277259781660851	0.432	0.477	1
"ANXA6"	0.122365796987632	0.264737462418206	0.134	0.121	1
"CD99"	0.133602438522935	0.253388591286657	0.331	0.337	1
"CTSA"	0.139475589827135	0.299582702398357	0.238	0.241	1
"CEBPB"	0.143074004805784	0.293868101639114	0.387	0.429	1
"NLRP3"	0.153338859179379	0.28920691227699	0.103	0.092	1
"BTN3A2"	0.182737770935708	0.25681968208808	0.132	0.123	1
"RNF181"	0.19790073739466	0.252058956350211	0.339	0.366	1
"CTSD"	0.234845625845329	0.275756785500654	0.559	0.65	1
"SNX10"	0.248553783671886	0.267591374025903	0.337	0.371	1
"ZFP36L1"	0.334896132788585	0.285482369340549	0.294	0.313	1
"GPBP1"	0.392321495907895	0.250168567528885	0.189	0.193	1
"NAMPT"	0.726389703896755	0.308612642254193	0.335	0.379	1
"SAMSN1"	0.867999271237996	0.252179950068905	0.144	0.159	1
"ROMO1"	0.98419515912236	0.251016061497284	0.267	0.303	1
"AES"	0.995961596647461	0.264839930968936	0.183	0.2	1
